,city,city_name,state_code,n_restaurants,n_cuisine,n_cuisine_mexican,n_cuisine_pizza,n_cuisine_american,n_cuisine_japanese,n_cuisine_thai,n_cuisine_sushi,n_cuisine_italian,n_cuisine_chinese,n_cuisine_korean,n_cuisine_burger,n_cuisine_mediterranean,n_cuisine_breakfast,n_cuisine_seafood,n_cuisine_asian,n_cuisine_indian,n_cuisine_barbecue,n_cuisine_sandwich,n_cuisine_steak_house,n_cuisine_vietnamese,n_cuisine_noodle,n_cuisine_chicken,n_cuisine_ramen,n_cuisine_french,n_cuisine_pasta,n_cuisine_filipino,n_cuisine_coffee_shop,n_cuisine_salad,n_cuisine_pancake,n_cuisine_peruvian,n_cuisine_hawaiian,n_cuisine_greek,n_cuisine_regional,n_cuisine_poke,n_cuisine_lebanese,n_cuisine_kebab,n_cuisine_fish,n_cuisine_spanish,n_cuisine_diner,n_cuisine_tacos,n_cuisine_dessert,n_cuisine_deli,n_cuisine_ice_cream,n_cuisine_brazilian,n_cuisine_middle_eastern,n_cuisine_tex-mex,n_cuisine_lunch,n_cuisine_grill,n_cuisine_brunch,n_cuisine_southern,n_cuisine_italian_pizza,n_cuisine_latin_american,n_cuisine_wings,n_cuisine_german,n_cuisine_steak,n_cuisine_bagel,n_cuisine_tapas,n_cuisine_fish_and_chips,n_cuisine_international,n_cuisine_jamaican,n_cuisine_turkish,n_cuisine_cajun,n_cuisine_soup,n_cuisine_buffet,n_cuisine_donut,n_cuisine_mongolian_grill,n_cuisine_caribbean,n_cuisine_hot_dog,n_cuisine_bar_and_grill,n_venues,n_venue_type,n_venue_bar,n_venue_fitness_centre,n_venue_theatre,n_venue_sports_centre,n_venue_cinema,n_venue_public_bookcase,n_venue_pub,n_venue_nightclub,n_venue_arts_centre,n_venue_stadium,n_venue_public_building,n_venue_casino,n_cafe,n_cafe_cuisine,n_cafe_brand,n_cafe_brand_Starbucks,n_cafe_brand_Dunkin',n_cafe_amenity_cafe,n_cafe_amenity_fast_food,n_cafe_cuisine_coffee_shop,n_cafe_cuisine_bubble_tea,n_cafe_cuisine_donut,n_cafe_cuisine_sandwich,n_cafe_cuisine_breakfast,n_cafe_cuisine_american,n_cafe_cuisine_coffee,n_cafe_cuisine_pastry,n_cafe_cuisine_tea,n_cafe_cuisine_dessert,n_cafe_cuisine_bagel,n_cafe_cuisine_ice_cream,n_cafe_brand_Tim_Hortons,n_cafe_brand_Dutch_Bros._Coffee
485,"New Britain, CT",New Britain,CT,9,6.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,5.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,3,2,2,1.0,2.0,1.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,"Broomfield, CO",Broomfield,CO,67,23.0,9.0,7.0,5.0,0.0,2.0,1.0,2.0,6.0,0.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47,7.0,4.0,10.0,4.0,21.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,12,2,1,5.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,"Bolingbrook, IL",Bolingbrook,IL,47,19.0,5.0,4.0,5.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9,6.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,11,2,3,3.0,7.0,4.0,7.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,"Mount Vernon, NY",Mount Vernon,NY,95,21.0,13.0,9.0,14.0,2.0,2.0,1.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,59,10.0,4.0,8.0,4.0,16.0,3.0,4.0,10.0,0.0,3.0,3.0,4.0,0.0,43,9,2,4.0,0.0,43.0,0.0,19.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
489,"Bismarck, ND",Bismarck,ND,41,15.0,4.0,6.0,13.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,24,7.0,8.0,1.0,3.0,6.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6,2,2,2.0,0.0,6.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,"Kalamazoo, MI",Kalamazoo,MI,66,24.0,3.0,9.0,6.0,0.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,5.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,10.0,12.0,6.0,11.0,13.0,1.0,8.0,4.0,1.0,2.0,2.0,0.0,0.0,21,8,4,2.0,1.0,20.0,1.0,14.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
491,"Missoula, MT",Missoula,MT,82,29.0,11.0,12.0,10.0,1.0,1.0,1.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,86,10.0,21.0,14.0,5.0,8.0,3.0,1.0,10.0,0.0,2.0,2.0,0.0,20.0,31,12,1,4.0,0.0,31.0,0.0,9.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
492,"Redmond, WA",Redmond,WA,121,46.0,18.0,12.0,5.0,3.0,6.0,5.0,5.0,9.0,5.0,6.0,2.0,3.0,1.0,5.0,8.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,93,9.0,6.0,35.0,2.0,8.0,4.0,17.0,19.0,0.0,1.0,1.0,0.0,0.0,52,15,8,11.0,0.0,52.0,0.0,28.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
493,"Redlands, CA",Redlands,CA,87,22.0,5.0,11.0,5.0,1.0,5.0,1.0,5.0,2.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,9.0,2.0,11.0,9.0,27.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,20,6,3,4.0,0.0,20.0,0.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,"Castle Rock, CO",Castle Rock,CO,52,18.0,10.0,4.0,12.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,9.0,6.0,8.0,1.0,18.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,20,2,3,6.0,0.0,20.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
