City,State,Merge_Key,State_FIPS,Place_FIPS,NAME,Total_Population,Median_Household_Income,Median_Housing_Value,Owner_Occupied_Units,Bachelors_Degree_Count,Masters_Degree_Count,Unemployed_Count,Unemployment_Rate,Bachelors_Or_Higher_Rate
New York,NY,"new york,NY",36,51000,New York city,8516202.0,79713.0,751700.0,1086420.0,1439826.0,752804.0,337932.0,0.03968106909629433,0.2574657106536458
Los Angeles,CA,"los angeles,CA",06,44000,Los Angeles city,3857897.0,80366.0,879500.0,515831.0,671408.0,237174.0,168363.0,0.043641134016797235,0.2355122492902221
Chicago,IL,"chicago,IL",17,14000,Chicago city,2707648.0,75134.0,315200.0,522179.0,476526.0,245805.0,118928.0,0.0439229914671331,0.2667743369891507
Houston,TX,"houston,TX",48,35000,Houston city,2300419.0,62894.0,253400.0,384672.0,326761.0,146292.0,81354.0,0.03536486179256909,0.2056377555567051
Phoenix,AZ,"phoenix,AZ",04,55000,Phoenix city,1624832.0,77041.0,381900.0,343369.0,212872.0,95692.0,44358.0,0.02730005317472822,0.1899051717346778
Philadelphia,PA,"philadelphia,PA",42,60000,Philadelphia city,1582432.0,60698.0,232400.0,350141.0,210729.0,111087.0,68006.0,0.04297562233321874,0.20336798042506724
San Antonio,TX,"san antonio,TX",48,65000,San Antonio city,1458954.0,62917.0,219700.0,287095.0,168607.0,73337.0,43479.0,0.02980148791531467,0.16583387824427637
San Diego,CA,"san diego,CA",06,66000,San Diego city,1385061.0,104321.0,848500.0,248395.0,281352.0,132824.0,43867.0,0.03167152926838601,0.2990308730084812
Dallas,TX,"dallas,TX",48,19000,Dallas city,1299553.0,67760.0,295300.0,223665.0,197007.0,83054.0,34531.0,0.026571444181191534,0.2155056392467256
San Jose,CA,"san jose,CA",06,68000,San Jose city,990054.0,141565.0,1187800.0,182822.0,181626.0,104335.0,25553.0,0.025809703309112433,0.28883374038183773
Austin,TX,"austin,TX",48,05000,Austin city,967862.0,91461.0,512700.0,195678.0,250023.0,109796.0,27169.0,0.028071150639244025,0.3717668427937041
Jacksonville,FL,"jacksonville,FL",12,35000,Jacksonville city,961739.0,66981.0,266100.0,220976.0,142260.0,48720.0,22455.0,0.02334833047219672,0.19857778461724024
